headline,wiebe,afinn,sent
"Hungary near breaking: Budapest station shut as 1,000 migrants try to board trains to West",-3.0,0.0,-1.5,50.0
"Blood Moon: ISIS, nuclear bombs and Walmart plumbing woe 'prove' world WILL end in 28 days",-6.0,0.0,-3.0,-11.0
"BEFORE & AFTER: How ISIS completely obliterated 2,000-year-old temple in ancient Palmyra",-7.000000000000001,-3.0,-5.0,-30.0
BREAKING: Family 'heading for Syria' detained in Turkey,0.0,-5.0,-2.5,84.0
Flipper trainer arrested on eve of Japan's bloody Taiji dolphin massacre,-13.0,-10.0,-11.5,-19.0
PICTURED: Mystery surrounds dead fish washed-up on beach that even seagulls won't touch,-7.000000000000001,0.0,-3.5000000000000004,-35.0
How a butterfly's wings holds the secret to incredible breakthroughs in medicine,12.0,0.0,6.0,80.0
"EU faces a migrant crisis of 'biblical proportions' but Britain should still take 10,000 refugees, says Yvette Cooper - live",0.0,-3.0,-1.5,65.0
In pictures: Vladimir Putin - man of action,0.0,0.0,0.0,87.0
Dutch government to appeal court ruling on greenhouse gases,17.0,0.0,8.5,52.0
The all-seeing eye in the sky: Satellites capture news around the world,0.0,0.0,0.0,-26.0
Elephant taps on window at safari park lodge in South Africa,0.0,0.0,0.0,-40.0
"Australia's Nauru detention centre 'not safe for children', says Senate inquiry",4.0,-2.0,1.0,-22.0
Hillary Clinton's latest emails: 10 things we've learned,5.0,0.0,2.5,72.0
Miley Cyrus slammed for 'blatant sexualisation' and 'illegal drugs' after hosting VMAs,-13.0,-5.0,-9.0,99.0
Drunken Britons cause 'carnage' in 'Hong Kong's Magaluf',-22.0,0.0,-11.0,-12.0
The EU migrant crisis explained in 90 seconds,-6.0,-8.0,-7.0,-7.000000000000001
Hungary closes main Budapest station to refugees,0.0,0.0,0.0,46.0
Turkish authorities detain British family feared to be Syria-bound,0.0,-4.0,-2.0,83.0
Hillary Clinton emails: Cherie Blair lobbied for Qatari crown prince,0.0,0.0,0.0,-36.0
Kentucky clerk defies gay marriage court order again 'under God's authority',8.0,3.0,5.5,94.0
EU referendum's reworded question welcomed by experts and campaigners,0.0,4.0,2.0,98.0
Pope Francis tells priests to pardon women who have abortions,10.0,4.0,7.0,65.0
"Help for dying RAF cadet delayed by 30 minutes, inquest hears",0.0,2.0,1.0,-26.0
Turkey charges Vice News reporters with aiding terrorist group,-11.0,-11.0,-11.0,57.99999999999999
Woman pleads guilty to posting revenge porn photos of girlfriend,-15.0,-10.0,-12.5,79.0
Julian Assange: documents show 'fancy dress' escape plan,13.0,-3.0,5.0,-18.0
Ukraine crisis: Prime Minister Arseniy Yatsenyuk says nationalist protesters are worse than separatists after violence that left one dead,-8.0,-15.0,-11.5,-2.0
Ukraine crisis: Prime Minister says nationalist protesters are worse than the separatists following violence that left one dead,-8.0,-16.0,-12.0,-9.0
French woman Natalie Amyot makes YouTube video to find man she claims made her pregnant in Australia,0.0,0.0,0.0,-5.0
Michelle Carter: Teenager 'pressured boyfriend to kill himself by sending him hundreds of text messages',-3.0,-7.000000000000001,-5.0,-10.0
German police forced to ask public to stop bringing donations for refugees arriving by train,0.0,-3.0,-1.5,45.0
Teenage girl 'fakes pregnancy with FakeABaby.com after losing triplets at six weeks',-8.0,-9.0,-8.5,-10.0
Suspect in Texas deputy shooting has history of mental illness,-10.0,-6.0,-8.0,-10.0
Hillary Clinton emails: The story behind a brief message on a quintessentially Jewish food,0.0,0.0,0.0,-18.0
"Nazi 'gold train' explained: Is the train real, what is inside it and what are the authorities doing?",6.0,-3.0,1.5,87.0
Kim Davis: Court clerk has become a hero of America's Christian right by refusing gay people the right to wed,19.0,0.0,9.5,85.0
